ProjectLibrary
DAW,Ableton,/Volumes/CatalogHD/ProjectLibrary/
DAW,FLStudio,/Volumes/CatalogHD/ProjectLibrary/
DAW,Logic,/Volumes/CatalogHD/ProjectLibrary/
DAW,Maschine,/Volumes/CatalogHD/ProjectLibrary/
DAW,MPCBeats,/Volumes/CatalogHD/ProjectLibrary/
DAW,ProTools,/Volumes/CatalogHD/ProjectLibrary/
GFX,AdobeAfterEffects,/Volumes/MovieHD/Projects/AdobeAfterEffectsProjects
GFX,AdobeIllustrator,/Volumes/MovieHD/Projects/AdobeIllustratorProjects
GFX,AdobePhotoshop,/Volumes/MovieHD/Projects/AdobePhotoshopProjects
GFX,Finalcut,/Volumes/MovieHD/Projects/FinalcutProjects
GFX,Gimp,/Volumes/MovieHD/Projects/GimpProjects
